,open,high,low,close,volume,value
2024-07-27 09:00:00,94639000.0,94861000.0,94610000.0,94669000.0,27.95061622,2648607442.11411
2024-07-27 09:05:00,94669000.0,94730000.0,94610000.0,94700000.0,10.79353132,1021939989.31007
2024-07-27 09:10:00,94687000.0,94727000.0,94670000.0,94687000.0,4.44183181,420590687.89347
2024-07-27 09:15:00,94672000.0,94784000.0,94672000.0,94772000.0,15.49248483,1467554421.19838
2024-07-27 09:20:00,94773000.0,94841000.0,94770000.0,94786000.0,7.36425324,698227251.74508
2024-07-27 09:25:00,94786000.0,94811000.0,94772000.0,94801000.0,3.48931639,330741225.871
2024-07-27 09:30:00,94801000.0,94814000.0,94772000.0,94800000.0,5.00600395,474547809.73286
2024-07-27 09:35:00,94800000.0,94800000.0,94670000.0,94675000.0,6.06446621,574556816.12985
2024-07-27 09:40:00,94672000.0,94672000.0,94607000.0,94608000.0,13.88224156,1313805653.04112
2024-07-27 09:45:00,94608000.0,94672000.0,94605000.0,94650000.0,9.38928335,888578726.77579
2024-07-27 09:50:00,94650000.0,94700000.0,94622000.0,94663000.0,8.35934296,791306016.96572
2024-07-27 09:55:00,94660000.0,94700000.0,94660000.0,94699000.0,4.96496653,470036987.43359
2024-07-27 10:00:00,94699000.0,94699000.0,94621000.0,94634000.0,8.15386819,771715347.01855
2024-07-27 10:05:00,94634000.0,94635000.0,94455000.0,94460000.0,12.05720263,1140064927.31239
2024-07-27 10:10:00,94460000.0,94501000.0,94410000.0,94497000.0,20.88733437,1972945772.78375
2024-07-27 10:15:00,94497000.0,94497000.0,94403000.0,94493000.0,11.97488666,1131122325.45409
2024-07-27 10:20:00,94493000.0,94635000.0,94419000.0,94553000.0,14.24704592,1346959097.34929
2024-07-27 10:25:00,94553000.0,94632000.0,94553000.0,94554000.0,4.31816915,408357172.40542
2024-07-27 10:30:00,94559000.0,94591000.0,94465000.0,94475000.0,6.46145628,610673335.11172
2024-07-27 10:35:00,94475000.0,94476000.0,94415000.0,94432000.0,7.47636964,706163550.33688
2024-07-27 10:40:00,94432000.0,94433000.0,94380000.0,94393000.0,11.91841189,1125199974.52374
2024-07-27 10:45:00,94393000.0,94460000.0,94381000.0,94400000.0,8.96361488,846309119.30631
2024-07-27 10:50:00,94400000.0,94438000.0,94333000.0,94347000.0,6.12177186,577738414.95295
2024-07-27 10:55:00,94337000.0,94347000.0,94239000.0,94251000.0,16.28894518,1535926404.08887
2024-07-27 11:00:00,94254000.0,94437000.0,94239000.0,94424000.0,18.30443251,1726131037.84074
2024-07-27 11:05:00,94424000.0,94437000.0,94379000.0,94392000.0,10.18069234,961264100.80177
2024-07-27 11:10:00,94392000.0,94426000.0,94380000.0,94401000.0,8.31815404,785192654.11532
2024-07-27 11:15:00,94401000.0,94479000.0,94344000.0,94477000.0,8.25126719,778945749.50164
2024-07-27 11:20:00,94477000.0,94538000.0,94433000.0,94537000.0,8.05216355,760926522.24588
2024-07-27 11:25:00,94537000.0,94600000.0,94520000.0,94590000.0,7.76670449,734318919.82755
2024-07-27 11:30:00,94591000.0,94720000.0,94591000.0,94720000.0,10.82205071,1024158840.2522
2024-07-27 11:35:00,94719000.0,94765000.0,94636000.0,94709000.0,6.93303168,656741171.72439
2024-07-27 11:40:00,94709000.0,94710000.0,94646000.0,94700000.0,4.88093114,462216830.58194
2024-07-27 11:45:00,94695000.0,94730000.0,94656000.0,94694000.0,8.34680805,790407458.25192
2024-07-27 11:50:00,94694000.0,94850000.0,94685000.0,94850000.0,8.4992309,805486292.4601
2024-07-27 11:55:00,94844000.0,94888000.0,94844000.0,94863000.0,11.94133722,1132854262.49805
2024-07-27 12:00:00,94863000.0,94888000.0,94810000.0,94819000.0,8.92402954,846523379.81896
2024-07-27 12:05:00,94819000.0,94861000.0,94700000.0,94760000.0,7.15643097,678359907.97121
2024-07-27 12:10:00,94760000.0,94760000.0,94600000.0,94727000.0,9.58322205,907154079.15536
2024-07-27 12:15:00,94727000.0,94760000.0,94611000.0,94667000.0,2.49033488,235813981.65446
2024-07-27 12:20:00,94665000.0,94727000.0,94615000.0,94714000.0,3.03075475,286926068.9571
2024-07-27 12:25:00,94699000.0,94726000.0,94617000.0,94675000.0,2.96807312,280954828.37336
2024-07-27 12:30:00,94675000.0,94675000.0,94628000.0,94674000.0,2.92222475,276610647.84356
2024-07-27 12:35:00,94638000.0,94732000.0,94615000.0,94726000.0,13.48922114,1276887816.65224
2024-07-27 12:40:00,94700000.0,94748000.0,94659000.0,94690000.0,3.41746769,323633499.86303
2024-07-27 12:45:00,94690000.0,94718000.0,94650000.0,94651000.0,3.88129858,367509248.09756
2024-07-27 12:50:00,94651000.0,94687000.0,94600000.0,94634000.0,3.11297285,294585710.39381
2024-07-27 12:55:00,94633000.0,94634000.0,94592000.0,94605000.0,5.40931868,511738119.89596
2024-07-27 13:00:00,94605000.0,94648000.0,94605000.0,94626000.0,3.80840215,360350989.44947
2024-07-27 13:05:00,94626000.0,94639000.0,94615000.0,94639000.0,2.76149614,261313158.70462
2024-07-27 13:10:00,94639000.0,94684000.0,94631000.0,94680000.0,2.35400134,222847222.02611
2024-07-27 13:15:00,94680000.0,94689000.0,94664000.0,94687000.0,4.53391908,429293237.90697
2024-07-27 13:20:00,94689000.0,94744000.0,94624000.0,94744000.0,4.80468799,454948664.37922
2024-07-27 13:25:00,94740000.0,94744000.0,94650000.0,94744000.0,3.93420186,372655423.65181
2024-07-27 13:30:00,94744000.0,94744000.0,94720000.0,94720000.0,3.09491824,293203316.71355
2024-07-27 13:35:00,94727000.0,94727000.0,94649000.0,94649000.0,3.63586686,344189170.47511
2024-07-27 13:40:00,94651000.0,94705000.0,94648000.0,94649000.0,4.03907117,382365538.59691
2024-07-27 13:45:00,94658000.0,94695000.0,94624000.0,94689000.0,2.76635077,261848696.70229
2024-07-27 13:50:00,94661000.0,94726000.0,94661000.0,94726000.0,5.20626679,493032215.53089
2024-07-27 13:55:00,94717000.0,94743000.0,94717000.0,94736000.0,2.92181902,276810084.26008
2024-07-27 14:00:00,94738000.0,94744000.0,94727000.0,94744000.0,5.52594906,523510118.20341
2024-07-27 14:05:00,94744000.0,94744000.0,94705000.0,94744000.0,5.12219717,485222136.17846
2024-07-27 14:10:00,94744000.0,94757000.0,94743000.0,94757000.0,3.263424,309204568.29995
2024-07-27 14:15:00,94757000.0,94791000.0,94757000.0,94790000.0,3.25694594,308680777.99552
2024-07-27 14:20:00,94790000.0,94876000.0,94790000.0,94876000.0,13.32979552,1263889816.44819
2024-07-27 14:25:00,94875000.0,94908000.0,94875000.0,94904000.0,9.4377321,895623176.84405
2024-07-27 14:30:00,94900000.0,94904000.0,94814000.0,94865000.0,13.06344791,1239277579.74146
2024-07-27 14:35:00,94865000.0,94869000.0,94821000.0,94867000.0,6.14536204,582905848.8408
2024-07-27 14:40:00,94868000.0,94868000.0,94756000.0,94756000.0,6.8569242,650167687.20717
2024-07-27 14:45:00,94756000.0,94795000.0,94727000.0,94790000.0,7.91720974,750314599.48262
2024-07-27 14:50:00,94789000.0,94790000.0,94734000.0,94751000.0,5.20035417,492879571.57979
2024-07-27 14:55:00,94751000.0,94800000.0,94734000.0,94800000.0,2.76240845,261799453.42979
